{'num_visual_words': 500, 'train_subset_size': 0.3, 'svm__C': 0.1, 'svm__kernel': 'linear', 'svm__gamma': 'scale', 'sift__nfeatures': 0, 'sift__nOctaveLayers': 3}, 0.23399138790360846
{'num_visual_words': 500, 'train_subset_size': 0.3, 'svm__C': 0.1, 'svm__kernel': 'linear', 'svm__gamma': 'scale', 'sift__nfeatures': 0, 'sift__nOctaveLayers': 4}, 0.23160900023028272
{'num_visual_words': 500, 'train_subset_size': 0.3, 'svm__C': 0.1, 'svm__kernel': 'linear', 'svm__gamma': 'scale', 'sift__nfeatures': 0, 'sift__nOctaveLayers': 5}, 0.24488696470038077
{'num_visual_words': 500, 'train_subset_size': 0.3, 'svm__C': 0.1, 'svm__kernel': 'linear', 'svm__gamma': 'scale', 'sift__nfeatures': 100, 'sift__nOctaveLayers': 3}, 0.24117149026708007
{'num_visual_words': 500, 'train_subset_size': 0.3, 'svm__C': 0.1, 'svm__kernel': 'linear', 'svm__gamma': 'scale', 'sift__nfeatures': 100, 'sift__nOctaveLayers': 4}, 0.22306151707067884
{'num_visual_words': 500, 'train_subset_size': 0.3, 'svm__C': 0.1, 'svm__kernel': 'linear', 'svm__gamma': 'scale', 'sift__nfeatures': 100, 'sift__nOctaveLayers': 5}, 0.23660743043027543
{'num_visual_words': 500, 'train_subset_size': 0.3, 'svm__C': 0.1, 'svm__kernel': 'linear', 'svm__gamma': 'scale', 'sift__nfeatures': 500, 'sift__nOctaveLayers': 3}, 0.23399138790360846
{'num_visual_words': 500, 'train_subset_size': 0.3, 'svm__C': 0.1, 'svm__kernel': 'linear', 'svm__gamma': 'scale', 'sift__nfeatures': 500, 'sift__nOctaveLayers': 4}, 0.23160900023028272
{'num_visual_words': 500, 'train_subset_size': 0.3, 'svm__C': 0.1, 'svm__kernel': 'linear', 'svm__gamma': 'scale', 'sift__nfeatures': 500, 'sift__nOctaveLayers': 5}, 0.24488696470038077
{'num_visual_words': 500, 'train_subset_size': 0.3, 'svm__C': 0.1, 'svm__kernel': 'linear', 'svm__gamma': 0.01, 'sift__nfeatures': 0, 'sift__nOctaveLayers': 3}, 0.23399138790360846
{'num_visual_words': 500, 'train_subset_size': 0.3, 'svm__C': 0.1, 'svm__kernel': 'linear', 'svm__gamma': 0.01, 'sift__nfeatures': 0, 'sift__nOctaveLayers': 4}, 0.23160900023028272
{'num_visual_words': 500, 'train_subset_size': 0.3, 'svm__C': 0.1, 'svm__kernel': 'linear', 'svm__gamma': 0.01, 'sift__nfeatures': 0, 'sift__nOctaveLayers': 5}, 0.24488696470038077
{'num_visual_words': 500, 'train_subset_size': 0.3, 'svm__C': 0.1, 'svm__kernel': 'linear', 'svm__gamma': 0.01, 'sift__nfeatures': 100, 'sift__nOctaveLayers': 3}, 0.24117149026708007
{'num_visual_words': 500, 'train_subset_size': 0.3, 'svm__C': 0.1, 'svm__kernel': 'linear', 'svm__gamma': 0.01, 'sift__nfeatures': 100, 'sift__nOctaveLayers': 4}, 0.22306151707067884
{'num_visual_words': 500, 'train_subset_size': 0.3, 'svm__C': 0.1, 'svm__kernel': 'linear', 'svm__gamma': 0.01, 'sift__nfeatures': 100, 'sift__nOctaveLayers': 5}, 0.23660743043027543
{'num_visual_words': 500, 'train_subset_size': 0.3, 'svm__C': 0.1, 'svm__kernel': 'linear', 'svm__gamma': 0.01, 'sift__nfeatures': 500, 'sift__nOctaveLayers': 3}, 0.23399138790360846
{'num_visual_words': 500, 'train_subset_size': 0.3, 'svm__C': 0.1, 'svm__kernel': 'linear', 'svm__gamma': 0.01, 'sift__nfeatures': 500, 'sift__nOctaveLayers': 4}, 0.23160900023028272
{'num_visual_words': 500, 'train_subset_size': 0.3, 'svm__C': 0.1, 'svm__kernel': 'linear', 'svm__gamma': 0.01, 'sift__nfeatures': 500, 'sift__nOctaveLayers': 5}, 0.24488696470038077
{'num_visual_words': 500, 'train_subset_size': 0.3, 'svm__C': 0.1, 'svm__kernel': 'linear', 'svm__gamma': 0.001, 'sift__nfeatures': 0, 'sift__nOctaveLayers': 3}, 0.23399138790360846
{'num_visual_words': 500, 'train_subset_size': 0.3, 'svm__C': 0.1, 'svm__kernel': 'linear', 'svm__gamma': 0.001, 'sift__nfeatures': 0, 'sift__nOctaveLayers': 4}, 0.23160900023028272
{'num_visual_words': 500, 'train_subset_size': 0.3, 'svm__C': 0.1, 'svm__kernel': 'linear', 'svm__gamma': 0.001, 'sift__nfeatures': 0, 'sift__nOctaveLayers': 5}, 0.24488696470038077
{'num_visual_words': 500, 'train_subset_size': 0.3, 'svm__C': 0.1, 'svm__kernel': 'linear', 'svm__gamma': 0.001, 'sift__nfeatures': 100, 'sift__nOctaveLayers': 3}, 0.24117149026708007
{'num_visual_words': 500, 'train_subset_size': 0.3, 'svm__C': 0.1, 'svm__kernel': 'linear', 'svm__gamma': 0.001, 'sift__nfeatures': 100, 'sift__nOctaveLayers': 4}, 0.22306151707067884
{'num_visual_words': 500, 'train_subset_size': 0.3, 'svm__C': 0.1, 'svm__kernel': 'linear', 'svm__gamma': 0.001, 'sift__nfeatures': 100, 'sift__nOctaveLayers': 5}, 0.23660743043027543
